#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
     191        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.222     27.179
     244        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.519     22.065
      22        1.000000     -0.008      0.000      0.000      0.000      0.000    -20.200     20.263
      74        1.000000      0.002      0.000      0.000      0.000      0.000    -18.949     17.353
     128        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.288     22.432
     192        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.194     20.869
     245        1.000000     -0.008      0.000      0.000      0.000      0.000    -18.995     19.642
      23        1.000000      0.003      0.000      0.000      0.000      0.000    -20.300     20.256
      75        1.000000     -0.004      0.000      0.000      0.000      0.000    -21.021     23.451
     129        1.000000      0.001      0.000      0.000      0.000      0.000    -19.286     19.644
     193        1.000000     -0.002      0.000      0.000      0.000      0.000    -24.061     23.263
     246        1.000000     -0.004      0.000      0.000      0.000      0.000    -29.481     21.620
      24        1.000000     -0.007      0.000      0.000      0.000      0.000    -21.374     24.427
      76        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.932     21.768
     130        1.000000     -0.007      0.000      0.000      0.000      0.000    -22.108     19.150
     194        1.000000     -0.012      0.000      0.000      0.000      0.000    -20.140     19.545
     247        1.000000     -0.003      0.000      0.000      0.000      0.000    -18.402     26.752
      25        1.000000     -0.005      0.000      0.000      0.000      0.000    -18.624     25.343
      77        1.000000      0.000      0.000      0.000      0.000      0.000    -20.701     25.067
     131        1.000000     -0.000      0.000      0.000      0.000      0.000    -22.175     18.527
     195        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.073     21.642
     248        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.021     18.833
      26        1.000000      0.002      0.000      0.000      0.000      0.000    -20.741     23.193
      78        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.396     21.113
     196        1.000000     -0.008      0.000      0.000      0.000      0.000    -21.528     22.560
     132        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.503     21.245
     249        1.000000     -0.008      0.000      0.000      0.000      0.000    -24.706     25.720
      27        1.000000     -0.000      0.000      0.000      0.000      0.000    -18.836     19.809
      79        1.000000     -0.004      0.000      0.000      0.000      0.000    -24.590     23.715
     197        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.374     20.562
     133        1.000000      0.004      0.000      0.000      0.000      0.000    -18.391     24.039
     250        1.000000      0.001      0.000      0.000      0.000      0.000    -22.614     23.060
      28        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.146     22.751
      80        1.000000     -0.011      0.000      0.000      0.000      0.000    -20.733     22.162
     198        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.941     20.143
     134        1.000000      0.000      0.000      0.000      0.000      0.000    -22.653     20.862
     251        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.784     25.246
      29        1.000000      0.002      0.000      0.000      0.000      0.000    -19.089     18.976
      81        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.705     24.722
     199        1.000000     -0.004      0.000      0.000      0.000      0.000    -24.020     25.575
     135        1.000000      0.002      0.000      0.000      0.000      0.000    -18.820     26.335
     252        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.522     20.236
      82        1.000000      0.005      0.000      0.000      0.000      0.000    -19.994     18.932
      30        1.000000     -0.001      0.000      0.000      0.000      0.000    -23.569     21.183
     200        1.000000     -0.011      0.000      0.000      0.000      0.000    -18.656     19.287
     136        1.000000     -0.007      0.000      0.000      0.000      0.000    -21.386     19.743
     253        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.846     21.666
     201        1.000000     -0.011      0.000      0.000      0.000      0.000    -29.056     20.562
      31        1.000000      0.002      0.000      0.000      0.000      0.000    -20.934     19.795
      83        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.459     20.705
     137        1.000000     -0.003      0.000      0.000      0.000      0.000    -21.857     19.668
     254        1.000000      0.000      0.000      0.000      0.000      0.000    -19.462     22.502
     202        1.000000     -0.004      0.000      0.000      0.000      0.000    -17.667     20.798
      32        1.000000      0.002      0.000      0.000      0.000      0.000    -21.082     24.465
      84        1.000000     -0.004      0.000      0.000      0.000      0.000    -23.343     20.837
     138        1.000000      0.006      0.000      0.000      0.000      0.000    -21.647     21.505
     255        1.000000     -0.004      0.000      0.000      0.000      0.000    -21.538     19.514
     203        1.000000     -0.009      0.000      0.000      0.000      0.000    -18.253     19.960
      33        1.000000     -0.005      0.000      0.000      0.000      0.000    -22.884     26.424
      85        1.000000     -0.009      0.000      0.000      0.000      0.000    -20.036     18.040
     139        1.000000     -0.008      0.000      0.000      0.000      0.000    -21.056     18.866
     256        1.000000     -0.011      0.000      0.000      0.000      0.000    -21.109     18.441
     204        1.000000      0.006      0.000      0.000      0.000      0.000    -23.996     21.507
      86        1.000000      0.004      0.000      0.000      0.000      0.000    -19.064     22.725
      34        1.000000     -0.002      0.000      0.000      0.000      0.000    -23.706     23.053
     140        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.978     21.838
