#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
     239        1.000000      0.001      0.000      0.000      0.000      0.000    -20.481     21.935
      77        1.000000      0.000      0.000      0.000      0.000      0.000    -20.701     25.067
     131        1.000000     -0.000      0.000      0.000      0.000      0.000    -22.175     18.527
     188        1.000000     -0.010      0.000      0.000      0.000      0.000    -21.638     22.873
     240        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.287     22.991
      78        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.396     21.113
     132        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.503     21.245
     189        1.000000     -0.003      0.000      0.000      0.000      0.000    -18.272     24.943
     241        1.000000     -0.003      0.000      0.000      0.000      0.000    -22.736     29.824
      79        1.000000     -0.004      0.000      0.000      0.000      0.000    -24.590     23.715
     190        1.000000     -0.011      0.000      0.000      0.000      0.000    -22.313     20.380
     133        1.000000      0.004      0.000      0.000      0.000      0.000    -18.391     24.039
     242        1.000000     -0.002      0.000      0.000      0.000      0.000    -21.557     22.831
      80        1.000000     -0.011      0.000      0.000      0.000      0.000    -20.733     22.162
     191        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.222     27.179
     134        1.000000      0.000      0.000      0.000      0.000      0.000    -22.653     20.862
     243        1.000000      0.002      0.000      0.000      0.000      0.000    -21.148     23.033
      81        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.705     24.722
     192        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.194     20.869
     135        1.000000      0.002      0.000      0.000      0.000      0.000    -18.820     26.335
     244        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.519     22.065
      82        1.000000      0.005      0.000      0.000      0.000      0.000    -19.994     18.932
     193        1.000000     -0.002      0.000      0.000      0.000      0.000    -24.061     23.263
     245        1.000000     -0.008      0.000      0.000      0.000      0.000    -18.995     19.642
     136        1.000000     -0.007      0.000      0.000      0.000      0.000    -21.386     19.743
      83        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.459     20.705
     194        1.000000     -0.012      0.000      0.000      0.000      0.000    -20.140     19.545
     246        1.000000     -0.004      0.000      0.000      0.000      0.000    -29.481     21.620
     137        1.000000     -0.003      0.000      0.000      0.000      0.000    -21.857     19.668
      84        1.000000     -0.004      0.000      0.000      0.000      0.000    -23.343     20.837
     195        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.073     21.642
     247        1.000000     -0.003      0.000      0.000      0.000      0.000    -18.402     26.752
     138        1.000000      0.006      0.000      0.000      0.000      0.000    -21.647     21.505
      85        1.000000     -0.009      0.000      0.000      0.000      0.000    -20.036     18.040
     196        1.000000     -0.008      0.000      0.000      0.000      0.000    -21.528     22.560
     248        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.021     18.833
     139        1.000000     -0.008      0.000      0.000      0.000      0.000    -21.056     18.866
      86        1.000000      0.004      0.000      0.000      0.000      0.000    -19.064     22.725
     197        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.374     20.562
     249        1.000000     -0.008      0.000      0.000      0.000      0.000    -24.706     25.720
     140        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.978     21.838
      87        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.260     21.719
     198        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.941     20.143
     250        1.000000      0.001      0.000      0.000      0.000      0.000    -22.614     23.060
     141        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.119     21.794
      88        1.000000     -0.003      0.000      0.000      0.000      0.000    -21.637     20.774
     199        1.000000     -0.004      0.000      0.000      0.000      0.000    -24.020     25.575
     251        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.784     25.246
     142        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.576     20.395
      89        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.510     21.615
     200        1.000000     -0.011      0.000      0.000      0.000      0.000    -18.656     19.287
     252        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.522     20.236
     143        1.000000     -0.011      0.000      0.000      0.000      0.000    -22.400     20.953
      90        1.000000     -0.000      0.000      0.000      0.000      0.000    -22.269     18.615
     201        1.000000     -0.011      0.000      0.000      0.000      0.000    -29.056     20.562
     253        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.846     21.666
     144        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.474     18.030
      91        1.000000      0.003      0.000      0.000      0.000      0.000    -20.334     19.862
     202        1.000000     -0.004      0.000      0.000      0.000      0.000    -17.667     20.798
     254        1.000000      0.000      0.000      0.000      0.000      0.000    -19.462     22.502
     145        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.231     21.701
      92        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.801     18.609
     203        1.000000     -0.009      0.000      0.000      0.000      0.000    -18.253     19.960
     255        1.000000     -0.004      0.000      0.000      0.000      0.000    -21.538     19.514
     146        1.000000     -0.014      0.000      0.000      0.000      0.000    -21.397     18.722
     204        1.000000      0.006      0.000      0.000      0.000      0.000    -23.996     21.507
      93        1.000000     -0.006      0.000      0.000      0.000      0.000    -23.816     22.329
     256        1.000000     -0.011      0.000      0.000      0.000      0.000    -21.109     18.441
     147        1.000000     -0.009      0.000      0.000      0.000      0.000    -26.242     22.932
     205        1.000000     -0.012      0.000      0.000      0.000      0.000    -19.206     19.202
     257        1.000000      0.001      0.000      0.000      0.000      0.000    -22.571     19.420
      94        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.774     21.799
     148        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.338     19.774
     206        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.588     21.962
     258        1.000000     -0.007      0.000      0.000      0.000      0.000    -28.241     18.293
      95        1.000000     -0.005      0.000      0.000      0.000      0.000    -22.389     19.663
     149        1.000000     -0.016      0.000      0.000      0.000      0.000    -23.467     26.686
     207        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.324     18.636
     259        1.000000     -0.010      0.000      0.000      0.000      0.000    -21.213     19.275
      96        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.796     22.903
     150        1.000000     -0.004      0.000      0.000      0.000      0.000    -22.435     21.420
     208        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.814     25.418
     260        1.000000      0.002      0.000      0.000      0.000      0.000    -21.066     18.492
      97        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.570     19.814
     151        1.000000     -0.013      0.000      0.000      0.000      0.000    -32.805     18.463
     209        1.000000     -0.011      0.000      0.000      0.000      0.000    -20.702     21.912
     261        1.000000     -0.004      0.000      0.000      0.000      0.000    -26.742     21.870
      98        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.331     22.910
     152        1.000000     -0.007      0.000      0.000      0.000      0.000    -19.657     19.556
     210        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.413     19.394
     262        1.000000     -0.006      0.000      0.000      0.000      0.000    -18.291     18.674
      99        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.476     19.780
     153        1.000000     -0.010      0.000      0.000      0.000      0.000    -30.214     24.548
     211        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.592     20.342
     263        1.000000     -0.003      0.000      0.000      0.000      0.000    -22.126     20.977
     100        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.434     25.931
     154        1.000000     -0.003      0.000      0.000      0.000      0.000    -23.429     19.922
     212        1.000000     -0.001      0.000      0.000      0.000      0.000    -24.587     18.904
     264        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     101        1.000000     -0.007      0.000      0.000      0.000      0.000    -18.769     18.515
     155        1.000000     -0.009      0.000      0.000      0.000      0.000    -23.017     19.107
     213        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.700     20.383
     265        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     102        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.534     20.709
     156        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.240     21.788
     214        1.000000     -0.004      0.000      0.000      0.000      0.000    -20.118     18.991
     266        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     103        1.000000     -0.004      0.000      0.000      0.000      0.000    -20.159     22.035
     157        1.000000     -0.002      0.000      0.000      0.000      0.000    -31.092     21.148
     215        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.542     23.544
     267        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     104        1.000000      0.000      0.000      0.000      0.000      0.000    -21.237     24.619
     216        1.000000     -0.008      0.000      0.000      0.000      0.000    -22.920     20.842
     158        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.986     19.108
     268        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     105        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.003     20.664
     159        1.000000      0.014      0.000      0.000      0.000      0.000    -22.270     28.085
     269        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     106        1.000000     -0.007      0.000      0.000      0.000      0.000    -19.875     21.487
     160        1.000000     -0.022      0.000      0.000      0.000      0.000    -22.552     19.366
     270        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     107        1.000000      0.003      0.000      0.000      0.000      0.000    -20.486     22.773
     161        1.000000      0.004      0.000      0.000      0.000      0.000    -20.316     25.567
     108        1.000000      0.002      0.000      0.000      0.000      0.000    -27.001     21.513
     162        1.000000     -0.003      0.000      0.000      0.000      0.000    -28.520     23.189
